Značka,Model,Objem (l),Rok,Najeté km,Cena,Palivo,Převodovka,Výkon (kW),Zdroj
Fiat,Panda,1.2,2004,186280,59999,Benzín,Manuální,44,Sauto
Fiat,Bravo,1.9,2008,208640,59999,Nafta,Manuální,110,Sauto
Citroën,C4,1.4,2008,122825,60000,benzín,manual,65,Autoesa
Jeep,Cherokee,2.5,2004,230526,60000,Nafta,Manuální,105,Sauto
Bmw,Rada 5,2.5,1999,398000,60000,Nafta,Manuální,105,Sauto
Nissan,Note,1.6,2006,186916,60000,Benzín,Manuální,81,Sauto
Toyota,Avensis,2.2,2008,284199,60000,nafta,manual,110,Autoesa
Mini,Cooper,1.6,2006,260294,60000,Benzín,Manuální,85,Sauto
Fiat,Bravo,1.4,2013,118700,60000,benzín,manual,66,Autoesa
Citroën,C4,1.6,2008,240222,60000,nafta,manual,80,Autoesa
Opel,Astra,1.6,2011,257880,60000,Benzín,Manuální,85,Sauto
Toyota,Avensis,2.2,2008,224603,60000,nafta,manual,110,Autoesa
Skoda,Fabia,1.2,2010,166142,60000,Benzín,Manuální,51,Sauto
Peugeot,407,1.6,2008,153510,60000,nafta,manual,80,Autoesa
Skoda,Octavia,1.6,2001,244253,60000,Benzín,Manuální,75,Sauto
Toyota,Aygo,1.0,2011,86005,60000,benzín,manual,50,Autoesa
Seat,Leon,1.9,2006,226400,60000,Nafta,Manuální,77,Sauto
Mini,One,1.4,2007,253375,60000,Benzín,Manuální,70,Sauto
Citroen,Grand C4 Picasso,1.6,2011,232062,60000,Nafta,Automatická,82,Sauto
Dacia,Duster,1.2,2014,228993,60000,Benzín,Manuální,92,Sauto
Kia,Carens,2.0,2008,167598,60000,nafta,manual,84,Autoesa
Citroen,C3,1.1,2007,63547,60000,Benzín,Manuální,44,Sauto
Volkswagen,Touran,2.0,2007,257021,60000,CNG + benzín,manual,80,Autoesa
Mazda,6,2.2,2010,400000,60000,Nafta,Manuální,120,Sauto
Subaru,Forester,2.0,2011,243893,60000,Nafta,Manuální,108,Sauto
Hyundai,I20,1.2,2009,133881,60000,benzín,manual,57,Autoesa
Citroën,C5,2.0,2010,283753,60000,nafta,manual,103,Autoesa
Fiat,Bravo,1.4,2008,192612,60000,Benzín,Manuální,88,Sauto
Mercedes-Benz,CLK,2.3,1999,167357,60000,benzín,automat,142,Autoesa
Renault,Megane,1.5,2010,269918,60000,Nafta,Manuální,63,Sauto
Mini,One,1.6,2003,159098,62000,Benzín,Manuální,66,Sauto
Mini,Cooper,1.6,2001,172840,62000,Benzín,Manuální,85,Sauto
Kia,Carens,2.0,2007,161624,62000,benzín,manual,106,Autoesa
Seat,Ibiza,1.2,2009,168952,62000,benzín,manual,51,Autoesa
Dacia,Logan,1.4,2009,194743,62990,Benzín,Manuální,55,Sauto
Fiat,500,1.2,2008,240000,63000,Benzín,Manuální,51,Sauto
Bmw,Rada 3,2.5,1999,348487,63000,Benzín,Manuální,125,Sauto
Renault,Laguna,2.0,2008,187336,63000,nafta,manual,110,Autoesa
Citroen,C4,1.6,2015,162283,63900,Nafta,Manuální,88,Sauto
Ford,Mondeo,2.0,2008,249543,64000,nafta,manual,96,Autoesa
Škoda,Fabia,1.9,2008,256582,64000,nafta,manual,77,Autoesa
Seat,Leon,1.9,2008,242530,64000,nafta,manual,77,Autoesa
Škoda,Fabia,1.2,2009,184849,64000,benzín,manual,44,Autoesa
Škoda,Superb,2.5,2002,257707,64000,nafta,automat,114,Autoesa
Mazda,2,1.3,2010,107779,64000,Benzín,Manuální,63,Sauto
Seat,Ibiza,1.4,2011,128000,64000,benzín,manual,63,Autoesa
Seat,Ibiza,1.2,2002,103789,64000,benzín,manual,47,Autoesa
Kia,Soul,1.6,2012,254301,64700,benzín,manual,93,Autoesa
Opel,Meriva,1.4,2009,110000,64800,Benzín,Manuální,66,Sauto
Mitsubishi,Colt,1.1,2011,92837,64800,Benzín,Manuální,55,Sauto
Kia,Cee D,1.4,2009,243200,64877,Benzín,Manuální,80,Sauto
Mitsubishi,Colt,1.3,2010,224543,64900,Benzín,Automatická,70,Sauto
